"cell","df","t1_10","t1_05","t1_01","mean","ks_p"
"logistic p2 n200",1,0.1132,0.0562,0.0114,1.05987990877301,0.0116051310203903
"normal p2 n200",1,0.1066,0.052,0.0132,1.01916054758894,0.486593992180192
"logistic p3 n200",2,0.107,0.0528,0.0082,2.07241999614421,0.00812837891311322
"gamma p3 n200",2,0.1106,0.0596,0.013,2.10635807725334,0.00240160416626178
"logistic p2 n500",1,0.0984,0.0468,0.0094,1.00493054267881,0.270735572419859
"normal p2 n500",1,0.1048,0.0524,0.0114,1.02759856905595,0.198721755191599
"logistic p3 n500",2,0.1062,0.0502,0.0094,2.04318036602204,0.201756740845895
"gamma p3 n500",2,0.1,0.0528,0.0126,2.02659484866257,0.575074445346538
"logistic p2 n1000",1,0.0938,0.0472,0.0088,0.98981853382562,0.927703778377621
"normal p2 n1000",1,0.1,0.045,0.0098,0.996490680267949,0.709076902189539
"logistic p3 n1000",2,0.102,0.0498,0.0082,2.03110948668984,0.313249621123724
"gamma p3 n1000",2,0.1066,0.0532,0.0116,2.06089906373008,0.176993223110318
"logistic p2 n2000",1,0.096,0.0506,0.0068,0.983188272699514,0.959195561021605
"normal p2 n2000",1,0.0986,0.0484,0.008,0.982762920377525,0.776038781134211
"logistic p3 n2000",2,0.0936,0.0476,0.0096,1.98009166024488,0.732052821034671
"gamma p3 n2000",2,0.1,0.0518,0.0094,1.97075147594032,0.014438433820547
